,formula,ident,sg_num,pearson,gii,gii_softBV
2869,TmMnO3,162209,62,oP20,0.162921282,0.10011099999999999
2870,Na2Ge2S5,25382,63,oC72,0.1629692978,0.157277
2871,CaTe3O8,133729,15,mC48,0.16304959830000001,0.13000799999999998
2872,Ca(SbO3)2,74539,162,hP9,0.1630509736,0.125961
2873,Ba3(GaS3)2,201421,15,mC44,0.16314661060000002,0.112838
2874,Rb2In3F11,1520,11,mP64,0.16316739100000002,0.117419
2875,CuRhO2,29214,166,hR4,0.16318579360000002,0.106001
2876,Ag2F5,95832,2,aP28,0.16326763760000002,0.049307
2877,RbTmS2,81405,166,hR4,0.16332569730000002,0.20995699999999998
2878,Cs3MnCl5,24,140,tI36,0.1633414023,0.145404
2879,Nb2Zn3O8,66147,15,mC52,0.1633502821,0.1203
2880,YCoO3,155834,62,oP20,0.1633717572,0.222735
2881,NaSbS2,71091,15,mC16,0.1634444786,0.052013
2882,PtF4,71579,43,oF40,0.1634542733,0.103376
2883,ZnSiN2,432701,33,oP16,0.1634771442,
2884,Na3SbO4,787,13,mP16,0.1634816039,0.164106
2885,U2V2O11,80027,14,mP30,0.16350408730000002,0.11922
2886,AuXe2F17,6032,62,oP80,0.1635084354,
2887,PrVO4,78076,141,tI24,0.1635271794,0.039098
2888,PPdS3,647926,12,mC20,0.1635546676,0.146947
2889,PdO,29281,131,tP4,0.1635769974,0.022744
2890,Hg2SeO3,412302,14,mP24,0.1635960418,0.059975999999999995
2891,BaGe4O9,28203,150,hP42,0.1636086471,0.12101899999999999
2892,In2Cu2O5,2201,33,oP36,0.1636887676,0.184198
2893,Pr2Mo4O15,68279,2,aP42,0.16370239720000002,0.075852
2894,AsAuO4,195289,15,mC24,0.16375204670000001,0.198466
2895,EuMn2O5,97045,55,oP32,0.1637885859,0.181251
2896,Na7In3Se8,300178,2,aP36,0.163792761,0.105723
2897,NaCoO2,6152,166,hR4,0.163930927,0.17646599999999998
2898,LiPS3,253894,12,mC20,0.16398271690000002,0.139336
2899,Ag5SbS4,20125,36,oC40,0.16401012950000002,0.12199199999999999
2900,MnP4O11,39835,2,aP64,0.1640327199,0.192996
2901,AgB3O5,428142,33,oP36,0.1640369726,0.047018
2902,HgSO4,31870,31,oP12,0.1640406228,0.233651
2903,KNaS,62658,62,oP12,0.16415000700000001,0.255534
2904,RbB3O5,87519,19,oP36,0.1642181146,0.036828
2905,Ca3Mn2O7,55666,36,oC48,0.1644042454,0.20810299999999998
2906,Rb2PtS2,26259,71,oI10,0.16446960600000002,0.158889
2907,CsTbS2,73539,166,hR4,0.1644733025,0.229286
2908,Bi2PdO4,9622,108,tI28,0.16455657370000001,0.097853
2909,Co2Te3O8,50702,15,mC52,0.1645749957,0.066093
2910,K4GeO4,412135,14,mP36,0.1647110314,0.200323
